UFCODE;MUNICODE;MUNINAME;VotesPT.2rnd;VotesPSL.2rnd;VotesNul.2rnd
BA;2929750;Saubara;6200;1563;438
BA;2929800;Saúde;4664;1046;383
BA;2929909;Seabra;21761;3077;1206
BA;2930006;Sebastião Laranjeiras;3704;1114;295
BA;2930105;Senhor do Bonfim;24241;11791;2641
BA;2930154;Serra do Ramalho;12645;2662;719
BA;2930204;Sento Sé;14681;3970;636
BA;2930303;Serra Dourada;6343;3570;407
BA;2930402;Serra Preta;9968;1576;535
BA;2930501;Serrinha;34236;9579;3506
BA;2930600;Serrolândia;5459;1760;557
BA;2930709;Simões Filho;42380;15305;4773
BA;2930758;Sítio do Mato;5079;1196;177
BA;2930766;Sítio do Quinto;5595;890;299
BA;2930774;Sobradinho;10296;2811;682
BA;2930808;Souto Soares;8807;854;285
BA;2930907;Tabocas do Brejo Velho;5802;1086;290
BA;2931004;Tanhaçu;9485;3125;718
BA;2931053;Tanque Novo;8013;1370;523
BA;2931103;Tanquinho;4365;1036;214
BA;2931202;Taperoá;7037;1787;679
BA;2931301;Tapiramutá;5458;1216;636
BA;2931350;Teixeira de Freitas;33442;34772;4007
BA;2931400;Teodoro Sampaio;4008;409;270
BA;2931509;Teofilândia;10197;1296;645
BA;2931608;Teolândia;5519;1739;535
BA;2931707;Terra Nova;5785;940;617
BA;2931806;Tremedal;7658;1831;436
BA;2931905;Tucano;23170;4339;1496
BA;2932002;Uauá;12716;1711;640
BA;2932101;Ubaíra;7950;2947;832
BA;2932200;Ubaitaba;6565;2986;657
BA;2932309;Ubatã;5746;2780;633
BA;2932408;Uibaí;6564;1935;337
BA;2932457;Umburanas;5659;1685;349
BA;2932507;Una;6683;3304;748
BA;2932606;Urandi;7249;1504;471
BA;2932705;Uruçuca;7114;4036;828
BA;2932804;Utinga;6985;1598;529
BA;2932903;Valença;31374;13897;4842
BA;2933000;Valente;9419;4591;1249
BA;2933059;Várzea da Roça;5911;1332;560
BA;2933109;Várzea do Poço;3219;1067;302
