Abrangência;Cargo;Sexo;Qt Candidatos;Eleito;2º Turno;Não Eleito
AMAPÁ;Vereador;Masculino;40;8;0;32
AMAPÁ;Vereador;Feminino;18;1;0;17
AMAPÁ DO MARANHÃO;Vereador;Masculino;44;8;0;36
AMAPÁ DO MARANHÃO;Vereador;Feminino;28;1;0;27
AMAPORÃ;Vereador;Masculino;34;9;0;25
AMAPORÃ;Vereador;Feminino;18;0;0;18
AMARAJI;Vereador;Masculino;69;7;0;62
AMARAJI;Vereador;Feminino;21;2;0;19
AMARAL FERRADOR;Vereador;Masculino;23;8;0;15
AMARAL FERRADOR;Vereador;Feminino;11;1;0;10
AMARALINA;Vereador;Masculino;30;9;0;21
AMARALINA;Vereador;Feminino;16;0;0;16
AMARANTE;Vereador;Masculino;44;10;0;34
AMARANTE;Vereador;Feminino;21;1;0;20
AMARANTE DO MARANHÃO;Vereador;Masculino;53;9;0;44
AMARANTE DO MARANHÃO;Vereador;Feminino;25;4;0;21
AMARGOSA;Vereador;Masculino;76;11;0;65
AMARGOSA;Vereador;Feminino;32;2;0;30
AMATURÁ;Vereador;Masculino;44;9;0;35
AMATURÁ;Vereador;Feminino;18;0;0;18
AMÉLIA RODRIGUES;Vereador;Masculino;83;8;0;75
AMÉLIA RODRIGUES;Vereador;Feminino;39;3;0;36
AMÉRICA DOURADA;Vereador;Masculino;30;11;0;19
AMÉRICA DOURADA;Vereador;Feminino;14;0;0;14
AMERICANA;Vereador;Masculino;203;18;0;185
AMERICANA;Vereador;Feminino;93;1;0;92
AMERICANO DO BRASIL;Vereador;Masculino;27;8;0;19
AMERICANO DO BRASIL;Vereador;Feminino;12;1;0;11
AMÉRICO BRASILIENSE;Vereador;Masculino;118;11;0;107
AMÉRICO BRASILIENSE;Vereador;Feminino;54;2;0;52
AMÉRICO DE CAMPOS;Vereador;Masculino;22;8;0;14
AMÉRICO DE CAMPOS;Vereador;Feminino;11;1;0;10
AMETISTA DO SUL;Vereador;Masculino;10;9;0;1
AMETISTA DO SUL;Vereador;Feminino;4;0;0;4
AMONTADA;Vereador;Masculino;61;11;0;50
AMONTADA;Vereador;Feminino;29;2;0;27
AMORINÓPOLIS;Vereador;Masculino;18;9;0;9
AMORINÓPOLIS;Vereador;Feminino;7;0;0;7
AMPARO;Vereador;Masculino;97;19;0;78
AMPARO;Vereador;Feminino;48;2;0;46
AMPARO DE SÃO FRANCISCO;Vereador;Masculino;23;8;0;15
AMPARO DE SÃO FRANCISCO;Vereador;Feminino;11;1;0;10
AMPARO DO SERRA;Vereador;Masculino;33;9;0;24
AMPARO DO SERRA;Vereador;Feminino;19;0;0;19
AMPÉRE;Vereador;Masculino;29;7;0;22
AMPÉRE;Vereador;Feminino;14;2;0;12
ANADIA;Vereador;Masculino;27;11;0;16
ANADIA;Vereador;Feminino;12;0;0;12
ANAGÉ;Vereador;Masculino;40;11;0;29
ANAGÉ;Vereador;Feminino;18;0;0;18
ANAHY;Vereador;Masculino;12;6;0;6
ANAHY;Vereador;Feminino;8;3;0;5
ANAJÁS;Vereador;Masculino;59;10;0;49
ANAJÁS;Vereador;Feminino;28;1;0;27
ANAJATUBA;Vereador;Masculino;42;8;0;34
ANAJATUBA;Vereador;Feminino;20;3;0;17
ANALÂNDIA;Vereador;Masculino;48;9;0;39
ANALÂNDIA;Vereador;Feminino;24;0;0;24
ANAMÃ;Vereador;Masculino;33;9;0;24
ANAMÃ;Vereador;Feminino;16;0;0;16
ANANÁS;Vereador;Masculino;17;5;0;12
ANANÁS;Vereador;Feminino;14;4;0;10
ANANINDEUA;Vereador;Masculino;352;22;0;330
ANANINDEUA;Vereador;Feminino;153;3;0;150
ANÁPOLIS;Vereador;Masculino;332;20;0;312
ANÁPOLIS;Vereador;Feminino;146;3;0;143
ANAPU;Vereador;Masculino;64;8;0;56
ANAPU;Vereador;Feminino;33;1;0;32
ANAPURUS;Vereador;Masculino;29;6;0;23
ANAPURUS;Vereador;Feminino;15;3;0;12
ANASTÁCIO;Vereador;Masculino;87;10;0;77
ANASTÁCIO;Vereador;Feminino;41;1;0;40
ANAURILÂNDIA;Vereador;Masculino;39;8;0;31
ANAURILÂNDIA;Vereador;Feminino;19;1;0;18
ANCHIETA;Vereador;Masculino;77;15;0;62
ANCHIETA;Vereador;Feminino;39;5;0;34
ANDARAÍ;Vereador;Masculino;32;7;0;25
ANDARAÍ;Vereador;Feminino;15;2;0;13
ANDIRÁ;Vereador;Masculino;61;9;0;52
ANDIRÁ;Vereador;Feminino;30;0;0;30
ANDORINHA;Vereador;Masculino;51;9;0;42
ANDORINHA;Vereador;Feminino;15;0;0;15
ANDRADAS;Vereador;Masculino;63;9;0;54
